SignalRecordInator saved data
note:Some more example data, this time without a time column.
numChannels: 2
Channels: AI0, AI2,
SaplingFrequency: 1000
-1.424785,-2.484839
-1.432352,-2.484510
-1.420179,-2.485168
-1.428733,-2.484839
-1.422811,-2.485168
-1.409322,-2.484839
-1.451434,-2.485168
-1.415573,-2.484839
-1.433010,-2.484510
-1.457357,-2.484839
-1.495850,2.491676
-1.573166,2.491676
-1.649166,2.491676
-1.733062,2.490031
-1.793928,2.489373
-1.847556,2.492005
-1.908751,2.490360
-1.936058,2.489044
-1.957444,2.490031
-1.967314,2.490031
-1.956786,2.491676
-1.895591,2.490031
-1.825842,2.489702
-1.727469,2.490360
-1.618240,2.490360
-1.487625,2.489702
-1.331019,2.490689
-1.197114,2.491347
-0.975036,2.488386
-0.754274,2.489044
-0.542396,2.489373
-0.293340,2.488386
-0.062708,2.491347
0.217932,2.487399
0.444287,2.488386
0.755524,2.488057
1.038467,2.489373
1.337202,2.490689
1.625409,2.489044
1.975140,2.488715
2.241633,2.486083
2.566689,2.487399
2.900299,2.489373
2.692697,2.489373
2.291971,2.489044
2.001131,2.491018
1.693184,2.490031
1.361877,2.488715
1.047021,2.490360
0.762104,2.488715
0.454486,2.488715
0.170226,2.487070
-0.133115,2.489373
-0.417703,2.488715
-0.654257,2.487070
-0.931937,2.488386
-1.192179,2.490689
-1.407348,2.490360
-1.622846,2.489373
-1.852820,2.489044
-2.068318,2.488715
-2.239730,2.491018
-2.391401,2.489373
-2.569393,2.489702
-2.685861,2.490689
-2.793117,2.490031
-2.893135,2.489044
-2.974399,2.487728
-2.991508,2.489373
-3.077049,2.489702
-3.032304,2.491018
-2.973412,2.489702
-2.932616,2.489044
-2.875698,2.489044
-2.838520,2.488715
-2.781273,2.488715
-2.749688,2.488386
-2.680268,2.490689
-2.637498,2.487399
-2.599662,2.488715
-2.534190,2.490689
-2.484510,2.490031
-2.442068,2.490360
-2.398969,2.489044
-2.360804,2.490360
-2.310466,2.489044
-2.286778,2.489702
-2.223609,2.488715
-2.176232,2.490689
-2.137738,2.489373
-2.091020,2.490689
-2.056145,2.489373
-2.027522,2.489044
-1.977513,-2.485168
-1.950535,-2.484510
-1.949877,-2.484839
-1.882760,-2.484181
-1.844924,-2.485497
-1.820907,-2.485168
-1.789980,-2.485168
-1.754777,-2.485168
-1.723521,-2.484510
-1.720231,-2.484839
-1.686673,-2.485168
-1.639625,-2.484839
-1.627452,-2.484510
-1.605080,-2.484510
-1.588958,-2.484839
-1.549149,-2.484510
-1.519538,-2.484181
-1.496837,-2.485168
-1.494205,-2.484839
-1.452092,-2.484839
-1.429720,-2.484510
-1.456370,-2.484839
-1.426430,-2.483852
-1.429062,-2.484510
-1.413270,-2.484510
-1.419521,-2.485497
-1.435971,-2.484839
-1.434655,-2.485168
-1.435313,-2.484510
-1.434655,-2.484510
-1.437287,-2.485168
-1.436958,-2.484510
-1.432681,-2.485497
-1.437945,-2.484839
-1.443867,-2.484510
-1.406032,-2.484510
-1.409980,-2.484839
-1.448473,-2.484839
-1.432681,-2.483852
-1.451434,-2.483852
-1.424785,-2.485168
-1.442880,-2.485168
-1.429062,-2.484839
-1.424127,-2.485168
-1.421166,-2.484839
-1.413599,-2.484181
-1.421495,-2.484510
-1.434326,-2.484510
-1.440906,-2.484510
-1.420508,-2.485168
-1.426430,-2.485497
-1.411954,-2.485168
-1.412941,-2.484510
-1.415573,-2.484181
-1.425772,-2.484839
-1.411625,-2.484839
-1.412941,-2.483852
-1.441235,-2.484181
-1.414257,-2.485168
-1.449789,-2.484839
-1.446828,-2.484181
-1.430378,-2.484510
-1.439919,-2.485497
-1.423798,-2.484839
-1.428733,-2.484510
-1.425772,-2.484839
-1.434655,-2.484510
-1.416560,-2.484510
-1.419192,-2.483852
-1.418863,-2.484839
-1.447486,-2.484839
-1.409651,-2.484839
-1.413928,-2.484839
-1.418534,-2.484181
-1.430378,-2.484839
-1.391885,-2.485168
-1.417876,-2.484510
-1.439590,-2.484839
-1.430707,-2.485168
-1.411625,-2.485168
-1.431694,-2.484839
-1.442551,-2.485168
-1.424785,-2.485497
-1.432023,-2.484510
-1.416889,2.489702
-1.395833,2.488715
-1.389253,2.490689
-1.366880,2.490689
-1.336941,2.490031
-1.291538,2.488715
-1.254032,2.489044
-1.240214,2.490689
-1.219486,2.490689
-1.166188,2.489044
-1.156317,2.489044
-1.132300,2.489044
-1.083279,2.490360
-1.049391,2.491347
-1.035244,2.491018
-1.012543,2.488715
-0.998066,2.489373
-0.974707,2.488057
-0.943452,2.489702
-0.910880,2.488715
-0.894759,2.490689
-0.858898,2.488715
-0.851989,2.488057
-0.801651,2.489044
-0.785530,2.488386
-0.776318,2.490031
-0.746707,2.488386
-0.721045,2.487728
-0.713149,2.488386
-0.694725,2.489373
-0.659850,2.487728
-0.615435,2.487399
-0.616093,2.488057
-0.605236,2.489044
-0.574967,2.489702
-0.556543,2.490031
-0.562465,2.489044
-0.525288,2.488057
-0.525617,2.490360
-0.511140,2.488715
-0.488768,2.489044
